player,age,minutes_90s,team,position,tackles_interceptions,club,goals_assists_per90,passes_pct,sca_per90,dribbles_completed_pct,shots_on_target_pct,team_cont
José Cifuentes,23,0.7,Ecuador,MF,2.857142857142857,Los Angeles FC,0.0,75.0,0.0,,100.0,South America
Jude Bellingham,19,4.6,England,MF,4.565217391304349,Dortmund,0.43,88.7,3.7,46.2,60.0,Europe
Jung Woo-young,33,3.4,Korea Republic,MF,2.3529411764705883,Al Sadd SC,0.0,84.4,2.08,,0.0,Asia
Junya Ito,29,3.6,Japan,MF,3.333333333333333,Reims,0.28,60.8,3.06,25.0,50.0,Asia
Kaoru Mitoma,25,1.8,Japan,MF,5.0,Brighton,0.55,71.4,6.0,40.0,100.0,Asia
Karim Boudiaf,32,2.1,Qatar,MF,0.9523809523809523,Al Duhail SC,0.0,88.7,1.46,33.3,,Asia
Keanu Baccus,24,1.3,Australia,MF,2.3076923076923075,St Mirren,0.0,63.4,0.0,0.0,0.0,Oceania
Koke,30,0.6,Spain,MF,1.6666666666666667,Atlético Madrid,0.0,90.3,1.73,,,Europe
Krystian Bielik,24,2.4,Poland,MF,4.166666666666667,Derby County,0.0,86.9,0.42,33.3,0.0,Europe
Leandro Paredes,28,2.5,Argentina,MF,5.2,Juventus,0.0,93.5,3.58,0.0,100.0,South America
Lee Jae-sung,30,2.3,Korea Republic,MF,3.4782608695652177,Mainz 05,0.0,86.6,1.71,66.7,0.0,Asia
Lee Kangin,21,1.6,Korea Republic,MF,2.5,Mallorca,0.61,80.5,7.96,50.0,20.0,Asia
Leon Goretzka,27,1.8,Germany,MF,3.333333333333333,Bayern Munich,0.0,73.7,0.57,,25.0,Europe
Lovro Majer,24,1.4,Croatia,MF,2.142857142857143,Rennes,0.69,79.6,4.79,0.0,50.0,Europe
Lucas Paquetá,25,3.5,Brazil,MF,2.5714285714285716,West Ham,0.57,83.7,2.58,0.0,100.0,South America
Luis Chávez,26,3.0,Mexico,MF,0.6666666666666666,Pachuca,0.33,71.2,4.67,33.3,40.0,North America
Luka Modrić,37,7.3,Croatia,MF,3.5616438356164384,Real Madrid,0.0,84.4,3.03,37.5,66.7,Europe
Marcelo Brozović,30,6.1,Croatia,MF,2.7868852459016393,Inter,0.0,87.9,1.72,37.5,50.0,Europe
Mark-Anthony Kaye,28,0.7,Canada,MF,2.857142857142857,Toronto FC,0.0,83.6,0.0,,0.0,North America
Marten de Roon,31,2.0,Netherlands,MF,4.5,Atalanta,0.0,81.5,0.49,,,Europe
Martin Hongla,24,1.3,Cameroon,MF,1.5384615384615383,Hellas Verona,0.0,80.3,3.72,66.7,100.0,Africa
Mason Mount,23,2.1,England,MF,0.9523809523809523,Chelsea,0.0,83.6,0.96,66.7,25.0,Europe
Mateo Kovačić,28,7.1,Croatia,MF,3.943661971830986,Chelsea,0.0,90.2,2.41,55.0,33.3,Europe
Matheus Nunes,24,0.8,Portugal,MF,0.0,Wolves,0.0,84.8,1.23,50.0,0.0,Europe
Mathew Leckie,31,3.7,Australia,MF,1.3513513513513513,Melb City,0.54,65.0,1.62,9.1,100.0,Oceania
Mathias Jensen,26,0.9,Denmark,MF,1.1111111111111112,Brentford,0.0,77.6,5.36,100.0,50.0,Europe
Matías Vecino,31,2.2,Uruguay,MF,3.6363636363636362,Lazio,0.0,71.7,0.46,,100.0,South America
Mehdi Torabi,28,0.7,IR Iran,MF,4.285714285714286,Persepolis,0.0,81.1,7.26,50.0,0.0,Asia
Mikkel Damsgaard,22,1.7,Denmark,MF,3.5294117647058822,Brentford,0.0,76.4,1.8,0.0,,Europe
